Freq.	-V(out)/I(V1)
2.18776162394955e+003	(7.93847674185338e+001dB,-5.41019886558308e+001°)
2.23872113856834e+003	(7.92579025478822e+001dB,-5.35058306710168e+001°)
2.29086765276777e+003	(7.91330636599617e+001dB,-5.29068383577042e+001°)
2.34422881531992e+003	(7.90102693050978e+001dB,-5.23053020922245e+001°)
2.39883291901949e+003	(7.88895360704736e+001dB,-5.17015193645986e+001°)
2.45470891568503e+003	(7.87708784973733e+001dB,-5.10957940904163e+001°)
2.51188643150958e+003	(7.86543090053268e+001dB,-5.04884358733756e+001°)
2.57039578276886e+003	(7.85398378236016e+001dB,-4.98797592238262e+001°)
2.63026799189538e+003	(7.84274729309237e+001dB,-4.92700827356509e+001°)
2.69153480392691e+003	(7.83172200039597e+001dB,-4.86597282265076e+001°)
2.75422870333816e+003	(7.82090823751355e+001dB,-4.80490198460771e+001°)
2.81838293126445e+003	(7.81030610003248e+001dB,-4.74382831572625e+001°)
2.88403150312660e+003	(7.79991544367327e+001dB,-4.68278441964165e+001°)
2.95120922666638e+003	(7.78973588314948e+001dB,-4.62180285172898e+001°)
3.01995172040201e+003	(7.77976679209779e+001dB,-4.56091602262908e+001°)
3.09029543251359e+003	(7.77000730411682e+001dB,-4.50015610138966e+001°)
3.16227766016838e+003	(7.76045631490934e+001dB,-4.43955491891601e+001°)
3.23593656929628e+003	(7.75111248551781e+001dB,-4.37914387240099e+001°)
3.31131121482591e+003	(7.74197424666911e+001dB,-4.31895383119838e+001°)
3.38844156139202e+003	(7.73303980416102e+001dB,-4.25901504500754e+001°)
3.46736850452531e+003	(7.72430714530455e+001dB,-4.19935705471312e+001°)
3.54813389233575e+003	(7.71577404635159e+001dB,-4.14000860662830e+001°)
3.63078054770101e+003	(7.70743808087660e+001dB,-4.08099757058739e+001°)
3.71535229097172e+003	(7.69929662905056e+001dB,-4.02235086243780e+001°)
3.80189396320561e+003	(7.69134688774901e+001dB,-3.96409437138178e+001°)
3.89045144994280e+003	(7.68358588142407e+001dB,-3.90625289260456e+001°)
3.98107170553497e+003	(7.67601047367764e+001dB,-3.84885006552522e+001°)
4.07380277804112e+003	(7.66861737944297e+001dB,-3.79190831807732e+001°)
4.16869383470335e+003	(7.66140317771273e+001dB,-3.73544881721883e+001°)
4.26579518801592e+003	(7.65436432472008e+001dB,-3.67949142595160e+001°)
4.36515832240165e+003	(7.64749716749977e+001dB,-3.62405466698607e+001°)
4.46683592150962e+003	(7.64079795772467e+001dB,-3.56915569326404e+001°)
4.57088189614874e+003	(7.63426286576041e+001dB,-3.51481026530240e+001°)
4.67735141287197e+003	(7.62788799483162e+001dB,-3.46103273548525e+001°)
4.78630092322637e+003	(7.62166939522474e+001dB,-3.40783603925467e+001°)
4.89778819368445e+003	(7.61560307844904e+001dB,-3.35523169312944e+001°)
5.01187233627271e+003	(7.60968503126694e+001dB,-3.30322979948689e+001°)
5.12861383991364e+003	(7.60391122952259e+001dB,-3.25183905794550e+001°)
5.24807460249772e+003	(7.59827765169591e+001dB,-3.20106678316642e+001°)
5.37031796370252e+003	(7.59278029210054e+001dB,-3.15091892889522e+001°)
5.49540873857624e+003	(7.58741517366970e+001dB,-3.10140011796204e+001°)
5.62341325190348e+003	(7.58217836025297e+001dB,-3.05251367800206e+001°)
5.75439937337156e+003	(7.57706596837665e+001dB,-3.00426168255364e+001°)
5.88843655355588e+003	(7.57207417839775e+001dB,-2.95664499724493e+001°)
6.02559586074357e+003	(7.56719924500444e+001dB,-2.90966333069430e+001°)
