Freq.	-V(in)/I(Rg)
6.45654229034654e+003	(7.57966480540154e+001dB,-4.36892505038916e+001°)
6.60693448007595e+003	(7.56956999738724e+001dB,-4.34122498544501e+001°)
6.76082975391980e+003	(7.55954558672257e+001dB,-4.31312980834189e+001°)
6.91830970918935e+003	(7.54959676316234e+001dB,-4.28464171538750e+001°)
7.07945784384136e+003	(7.53972870098343e+001dB,-4.25576524582598e+001°)
7.24435960074989e+003	(7.52994653563362e+001dB,-4.22650726015900e+001°)
7.41310241300916e+003	(7.52025534085331e+001dB,-4.19687690773565e+001°)
7.58577575029182e+003	(7.51066010639957e+001dB,-4.16688558395834e+001°)
7.76247116628690e+003	(7.50116571648088e+001dB,-4.13654687750749e+001°)
7.94328234724280e+003	(7.49177692900360e+001dB,-4.10587650805129e+001°)
8.12830516164097e+003	(7.48249835575079e+001dB,-4.07489225495901e+001°)
8.31763771102669e+003	(7.47333444356316e+001dB,-4.04361387758491e+001°)
8.51138038202374e+003	(7.46428945663391e+001dB,-4.01206302773752e+001°)
8.70963589956079e+003	(7.45536745998885e+001dB,-3.98026315500161e+001°)
8.91250938133744e+003	(7.44657230420810e+001dB,-3.94823940560283e+001°)
9.12010839355908e+003	(7.43790761146942e+001dB,-3.91601851555270e+001°)
9.33254300796989e+003	(7.42937676296565e+001dB,-3.88362869883307e+001°)
9.54992586021434e+003	(7.42098288770486e+001dB,-3.85109953140048e+001°)
9.77237220955809e+003	(7.41272885276981e+001dB,-3.81846183181397e+001°)
9.99999999999998e+003	(7.40461725501683e+001dB,-3.78574753928476e+001°)
1.02329299228075e+004	(7.39665041424460e+001dB,-3.75298958996683e+001°)
1.04712854805090e+004	(7.38883036781931e+001dB,-3.72022179228499e+001°)
1.07151930523760e+004	(7.38115886674690e+001dB,-3.68747870209726e+001°)
1.09647819614318e+004	(7.37363737317240e+001dB,-3.65479549846587e+001°)
1.12201845430196e+004	(7.36626705925385e+001dB,-3.62220786077793e+001°)
1.14815362149688e+004	(7.35904880739707e+001dB,-3.58975184794110e+001°)
1.17489755493953e+004	(7.35198321176328e+001dB,-3.55746378032259e+001°)
1.20226443461741e+004	(7.34507058102078e+001dB,-3.52538012507089e+001°)
1.23026877081238e+004	(7.33831094224003e+001dB,-3.49353738539719e+001°)
1.25892541179416e+004	(7.33170404588695e+001dB,-3.46197199435443e+001°)
1.28824955169313e+004	(7.32524937180861e+001dB,-3.43072021358425e+001°)
1.31825673855640e+004	(7.31894613613374e+001dB,-3.39981803744283e+001°)
1.34896288259165e+004	(7.31279329900486e+001dB,-3.36930110286257e+001°)
1.38038426460288e+004	(7.30678957303442e+001dB,-3.33920460523442e+001°)
1.41253754462275e+004	(7.30093343240521e+001dB,-3.30956322054151e+001°)
1.44543977074592e+004	(7.29522312250387e+001dB,-3.28041103389918e+001°)
1.47910838816820e+004	(7.28965667001434e+001dB,-3.25178147461563e+001°)
1.51356124843620e+004	(7.28423189334859e+001dB,-3.22370725779457e+001°)
1.54881661891248e+004	(7.27894641336114e+001dB,-3.19622033249842e+001°)
1.58489319246111e+004	(7.27379766421205e+001dB,-3.16935183635826e+001°)
1.62181009735893e+004	(7.26878290433894e+001dB,-3.14313205655880e+001°)
1.65958690743756e+004	(7.26389922742589e+001dB,-3.11759039699321e+001°)
1.69824365246174e+004	(7.25914357331424e+001dB,-3.09275535141710e+001°)
1.73780082874937e+004	(7.25451273876204e+001dB,-3.06865448232475e+001°)
1.77827941003892e+004	(7.25000338801704e+001dB,-3.04531440529763e+001°)
1.81970085860998e+004	(7.24561206311079e+001dB,-3.02276077850856e+001°)
1.86208713666286e+004	(7.24133519385484e+001dB,-3.00101829706192e+001°)
1.90546071796324e+004	(7.23716910746191e+001dB,-2.98011069181495e+001°)
1.94984459975804e+004	(7.23311003776837e+001dB,-2.96006073234006e+001°)
1.99526231496887e+004	(7.22915413402536e+001dB,-2.94089023363875e+001°)
2.04173794466952e+004	(7.22529746921160e+001dB,-2.92262006624955e+001°)
2.08929613085403e+004	(7.22153604787236e+001dB,-2.90527016937472e+001°)
2.13796208950222e+004	(7.21786581343688e+001dB,-2.88885956663282e+001°)
2.18776162394954e+004	(7.21428265502204e+001dB,-2.87340638409301e+001°)
2.23872113856833e+004	(7.21078241371405e+001dB,-2.85892787022013e+001°)
2.29086765276777e+004	(7.20736088831284e+001dB,-2.84544041735760e+001°)
2.34422881531991e+004	(7.20401384054799e+001dB,-2.83295958444282e+001°)
2.39883291901948e+004	(7.20073699977664e+001dB,-2.82150012059826e+001°)
2.45470891568502e+004	(7.19752606716572e+001dB,-2.81107598930047e+001°)
2.51188643150957e+004	(7.19437671936423e+001dB,-2.80170039281217e+001°)
2.57039578276885e+004	(7.19128461170038e+001dB,-2.79338579662027e+001°)
2.63026799189537e+004	(7.18824538089919e+001dB,-2.78614395359222e+001°)
2.69153480392691e+004	(7.18525464735533e+001dB,-2.77998592761549e+001°)
2.75422870333816e+004	(7.18230801697241e+001dB,-2.77492211647511e+001°)
2.81838293126444e+004	(7.17940108260944e+001dB,-2.77096227379332e+001°)
2.88403150312660e+004	(7.17652942513614e+001dB,-2.76811552977799e+001°)
2.95120922666637e+004	(7.17368861414238e+001dB,-2.76639041065787e+001°)
3.01995172040200e+004	(7.17087420831918e+001dB,-2.76579485660054e+001°)
3.09029543251358e+004	(7.16808175555066e+001dB,-2.76633623799626e+001°)
3.16227766016837e+004	(7.16530679272874e+001dB,-2.76802136996012e+001°)
3.23593656929627e+004	(7.16254484534187e+001dB,-2.77085652495117e+001°)
3.31131121482590e+004	(7.15979142684537e+001dB,-2.77484744338391e+001°)
3.38844156139201e+004	(7.15704203786779e+001dB,-2.77999934218575e+001°)
3.46736850452530e+004	(7.15429216526596e+001dB,-2.78631692120722e+001°)
3.54813389233574e+004	(7.15153728106752e+001dB,-2.79380436741501e+001°)
3.63078054770100e+004	(7.14877284133406e+001dB,-2.80246535685762e+001°)
3.71535229097171e+004	(7.14599428497795e+001dB,-2.81230305435191e+001°)
3.80189396320560e+004	(7.14319703254826e+001dB,-2.82332011087672e+001°)
3.89045144994279e+004	(7.14037648505243e+001dB,-2.83551865868277e+001°)
3.98107170553496e+004	(7.13752802280289e+001dB,-2.84890030411022e+001°)
4.07380277804111e+004	(7.13464700435404e+001dB,-2.86346611815762e+001°)
4.16869383470334e+004	(7.13172876554747e+001dB,-2.87921662483049e+001°)
4.26579518801591e+004	(7.12876861869436e+001dB,-2.89615178732472e+001°)
4.36515832240164e+004	(7.12576185193193e+001dB,-2.91427099208584e+001°)
4.46683592150961e+004	(7.12270372878469e+001dB,-2.93357303088437e+001°)
4.57088189614873e+004	(7.11958948796092e+001dB,-2.95405608093147e+001°)
4.67735141287196e+004	(7.11641434340595e+001dB,-2.97571768319113e+001°)
4.78630092322636e+004	(7.11317348465530e+001dB,-2.99855471899487e+001°)
4.89778819368444e+004	(7.10986207750598e+001dB,-3.02256338511648e+001°)
5.01187233627270e+004	(7.10647526503782e+001dB,-3.04773916744763e+001°)
5.12861383991362e+004	(7.10300816900400e+001dB,-3.07407681344152e+001°)
5.24807460249770e+004	(7.09945589163492e+001dB,-3.10157030356344e+001°)
5.37031796370250e+004	(7.09581351784294e+001dB,-3.13021282188443e+001°)
5.49540873857622e+004	(7.09207611789491e+001dB,-3.15999672611084e+001°)
5.62341325190346e+004	(7.08823875052656e+001dB,-3.19091351723370e+001°)
5.75439937337154e+004	(7.08429646655407e+001dB,-3.22295380910734e+001°)
5.88843655355586e+004	(7.08024431296209e+001dB,-3.25610729818152e+001°)
6.02559586074355e+004	(7.07607733750954e+001dB,-3.29036273371093e+001°)
6.16595001861479e+004	(7.07179059384055e+001dB,-3.32570788872785e+001°)
6.30957344480190e+004	(7.06737914710983e+001dB,-3.36212953207730e+001°)
6.45654229034652e+004	(7.06283808012701e+001dB,-3.39961340188363e+001°)
6.60693448007593e+004	(7.05816250000740e+001dB,-3.43814418071821e+001°)
6.76082975391979e+004	(7.05334754532835e+001dB,-3.47770547286231e+001°)
6.91830970918933e+004	(7.04838839376732e+001dB,-3.51827978396749e+001°)
7.07945784384134e+004	(7.04328027021465e+001dB,-3.55984850347434e+001°)
7.24435960074987e+004	(7.03801845532751e+001dB,-3.60239189014241e+001°)
7.41310241300914e+004	(7.03259829449616e+001dB,-3.64588906098471e+001°)
7.58577575029180e+004	(7.02701520719368e+001dB,-3.69031798396176e+001°)
7.76247116628688e+004	(7.02126469666697e+001dB,-3.73565547476045e+001°)
7.94328234724277e+004	(7.01534235991147e+001dB,-3.78187719786092e+001°)
8.12830516164095e+004	(7.00924389789891e+001dB,-3.82895767233008e+001°)
8.31763771102667e+004	(7.00296512598329e+001dB,-3.87687028233759e+001°)
8.51138038202372e+004	(6.99650198443699e+001dB,-3.92558729286795e+001°)
8.70963589956076e+004	(6.98985054904176e+001dB,-3.97507987062714e+001°)
8.91250938133741e+004	(6.98300704167702e+001dB,-4.02531811029427e+001°)
9.12010839355905e+004	(6.97596784081642e+001dB,-4.07627106632777e+001°)
9.33254300796986e+004	(6.96872949188152e+001dB,-4.12790679023828e+001°)
9.54992586021431e+004	(6.96128871734608e+001dB,-4.18019237338336e+001°)
9.77237220955805e+004	(6.95364242654427e+001dB,-4.23309399525357e+001°)
1.00000000000000e+005	(6.94578772507650e+001dB,-4.28657697709262e+001°)
